id,edge,startPos,endPos,friendlyPos
-1615531689,-803941113,9.37,34.37,true
-1628877119,-148452597#4,8.03,33.03,true
-1662153916,-153537606#5,55.23,80.23,true
-1808823755,-1100903092,32.95,47.95,true
-2094266776,-807043967,0.00,100.00,true
-2094266777,199425795#4,0.00,138.45,true
-253846340,-70268945,602.79,765.28,true
-2603331695,-29384521#0,23.79,223.79,true
-27411231,-72984377#0,0.00,161.81,true
-27411240,-32590638,235.91,435.91,true
-3837028203,-143931933#0,244.89,269.89,true
-3858919769,-1090433701#0,83.18,98.18,true
-3858919773,-315214529#2,30.44,45.44,true
-3867910422,-755551646#0,0.00,1.97,true
-3867910426,-387892378,6.31,21.31,true
-3869306760,-176043807#4,38.11,46.68,true
-3869306761,-1100824590,17.82,32.82,true
-3869306765,-4402228#1,0.00,8.94,true
-3869306773,-23755950#0,7.70,22.70,true
-3918673878,-169717723#3,6.77,21.77,true
-4294381017,-671403217,12.92,27.92,true
-4692172068,-335462874#2,0.00,8.91,true
-5824647400,-35557143#4,0.00,13.64,true
-6287386721,-671403217,12.92,27.92,true
-6744165042,-534588621#0,36.36,51.36,true
-7974928190,-942849697,65.40,265.40,true
-8090274121,-71326270,261.81,461.81,true
-8196661137,-942849698,459.75,659.75,true
-9023382186,-194069450#1,0.00,12.13,true
-9681836926,-120675240#2,103.81,117.00,true
1615531689,1051100387#1,0.00,19.62,true
1628877119,148452597#4,30.49,55.49,true
1633759760,803941122,35.74,60.74,true
1633759766,421641064,48.15,60.65,true
1661927028,101699679#4,53.49,65.99,true
1662153916,153537606#5,39.82,64.82,true
1668497956,153537614#13,20.51,41.23,true
1668685086,154321040#8,0.00,22.06,true
1668717159,143891040#1,237.58,262.58,true
1673526976,167272512#2,68.07,80.57,true
1745157971,32590649,121.90,321.90,true
1769645503,459344271,558.64,758.64,true
1789092673,317013528#0,79.15,104.15,true
1823298700,195411594#1,43.28,68.28,true
1827996414,72157174#1,28.44,35.94,true
1827996417,195401013#2,29.15,44.15,true
1840333892,1053166659#6,53.35,78.35,true
1860777041,150394034#2,41.61,59.90,true
1862699772,154321040#6,10.16,35.16,true
1930939368,459344271,558.64,758.64,true
2094266775,381201610,1153.49,1353.49,true
2094266776,4699210#4,0.00,131.33,true
2094266777,199425808,15.05,115.05,true
2094266781,384294420,428.70,628.70,true
2094266782,200422335#0,462.07,662.07,true
2094266983,438860779,5.19,205.19,true
2175753204,144014228#2,30.36,50.08,true
244486083,148458497,44.33,59.74,true
244487457,11482920#2,61.06,81.93,true
247600965,22820560#2,37.19,62.19,true
247603398,144014230#3,35.92,60.92,true
253846340,421618230,0.00,144.66,true
2603331683,25946666#2,0.00,137.35,true
2603331695,25946685#2,0.00,121.85,true
270718978,1113401735#1,1.02,16.02,true
270719334,112128419#2,0.00,8.16,true
270720402,24914141#0,41.68,56.68,true
270727260,112128419#2,0.00,8.16,true
271296293,169195795#4,34.39,49.39,true
271373068,24913304#2,14.56,29.56,true
271388393,24240246#1,85.51,93.01,true
271884565,523630412#0,63.31,78.31,true
272408975,188386313#1,14.25,29.25,true
27411231,32590647,18.25,218.25,true
27411240,4471817#1,6.63,193.81,true
27412232,4471823#2,0.00,171.74,true
2776873647,32590636#1,75.59,275.59,true
2792364395,378664954,517.85,717.85,true
2812237303,360588975,582.86,782.86,true
29058100,378664954,517.85,717.85,true
2915590925,202157002#1,54.53,69.53,true
29190909,438860779,143.94,343.94,true
29495029,384294423,132.68,332.68,true
2951367727,144529199#0,45.92,70.92,true
2951553387,291670890#2,48.54,66.36,true
2959830768,422000254,0.00,5.99,true
29805120,25946656#1,0.00,114.48,true
30353449,109444375#2,35.13,235.13,true
3043709616,295376548,14.83,214.83,true
30731481,144014234#1,38.25,63.25,true
30731497,93628049#5,47.53,72.53,true
30731508,93628049#1,41.77,59.81,true
30731700,167272531#7,0.00,3.70,true
30732068,4791000#1,53.95,78.95,true
322796388,459344271,558.64,758.64,true
3352479220,23851917#0,15.07,30.07,true
3419694885,32572622#1,0.00,156.42,true
3464867340,1068129617,0.00,1.11,true
366500581,29384661#1,0.00,114.67,true
366500582,25946661,0.00,137.79,true
3837028203,1049894530#0,105.59,130.59,true
3858919768,1090433701#0,41.14,56.14,true
3858919772,315214529#2,40.17,55.17,true
3862767501,4401967#0,0.00,8.77,true
3862767510,171484594#1,101.68,111.94,true
3867910416,60333311#2,2.07,17.07,true
3867910417,312357351#1,40.18,55.18,true
3867910420,61584187#1,29.87,44.87,true
3867910421,831694400,23.29,38.29,true
3867910423,755551646#2,9.16,16.66,true
3867910424,23851927,89.54,104.54,true
3867910427,370359204#2,8.03,23.03,true
3867910438,4773465#1,19.57,34.57,true
3867910439,23809678#3,42.39,57.39,true
3867922463,4773024#0,0.00,7.50,true
3867922470,1097921378,0.00,3.11,true
3867922477,1071049527,0.00,1.32,true
3869306759,176043807#1,0.00,8.11,true
3869306762,111251382#3,19.73,27.23,true
3869306764,4402228#0,5.14,20.14,true
3869306767,35557143#1,0.00,7.71,true
3869306769,295376548,14.83,214.83,true
3869306771,461526152#0,0.00,9.17,true
3869306774,23755950#0,31.19,46.19,true
3870475228,340498982#1,13.62,28.62,true
3918673879,169717723#3,10.30,22.03,true
3918673880,6227796#2,17.24,32.24,true
3918673881,1102153967#1,18.19,27.17,true
3918673888,388702039#10,7.66,15.16,true
3918673889,369223457,6.10,21.10,true
3918673890,369223459#0,9.53,24.53,true
3918673891,312654706#1,42.52,55.71,true
3922258748,144014237#2,68.15,93.15,true
3928759794,388702041#14,0.00,3.70,true
3933855818,73310502#1,0.00,9.17,true
3980157313,236092221#2,52.87,67.87,true
4073216546,1113401735#1,1.02,16.02,true
4163212867,112128419#2,0.00,8.16,true
4164607294,1071049530,0.00,1.19,true
4655287360,381201610,1153.49,1353.49,true
4655287361,438860779,143.94,343.94,true
4673135647,150394035#1,51.85,75.65,true
474368351,109444375#2,35.13,235.13,true
4946539237,109444375#2,35.13,235.13,true
4961125734,272795470#1,660.46,860.46,true
5063750226,519273954,0.00,4.86,true
5227235607,438860779,143.94,343.94,true
5227235608,381201610,622.91,822.91,true
574265352,32590433#1,0.00,140.74,true
5907113486,756306892,7.19,22.19,true
5907113489,112128419#2,0.00,8.16,true
5907113490,1071049529,0.00,1.74,true
5907113491,1071049528,0.00,2.05,true
5907113492,112128419#1,18.85,33.85,true
5907113496,153424828#6,114.64,139.64,true
5907113497,153424801#5,94.09,119.09,true
6287386721,39350082#4,0.00,12.51,true
6287386722,39350082#4,0.00,12.51,true
665744620,1068129614,0.00,1.49,true
665744621,1069677817,0.00,3.66,true
6682293818,534588621#0,13.89,28.89,true
7057285550,360588975,582.86,782.86,true
7312391560,371927739#3,66.94,81.94,true
7312391561,24241790#2,0.00,9.38,true
7312391564,139877314#1,21.03,28.58,true
7974928190,942849697,13.37,213.37,true
7974955393,942849695,1.87,201.87,true
8087330616,942849696,224.00,424.00,true
8090274121,71326270,382.94,582.94,true
8170769020,335043673#2,35.77,222.50,true
8170794617,387125526,36.99,236.99,true
8196661136,248099628,364.55,504.66,true
8196661137,-199425795#0,88.03,288.03,true
9023382187,169999355#0,0.00,7.76,true
963600646,143891040#7,15.50,40.50,true
9681836927,120675240#0,2.21,17.21,true
986042574,72463266,0.00,1.07,true
990017251,388702047#3,0.00,12.50,true
